id,type,name,slug,gender,house,species,wiki
6751e7f7-a8b7-488b-bde7-8606822d2338,book,,harry-potter-and-the-philosopher-s-stone,,,,https://harrypotter.fandom.com/wiki/Harry_Potter_and_the_Philosopher's_Stone
3a9954ed-7d8c-4368-8fca-e9277efdaaa8,book,,harry-potter-and-the-chamber-of-secrets,,,,https://harrypotter.fandom.com/wiki/Harry_Potter_and_the_Chamber_of_Secrets
1c7fbfc9-d01f-49cd-b32b-45c4462acfec,book,,harry-potter-and-the-prisoner-of-azkaban,,,,https://harrypotter.fandom.com/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban
9f6e84f8-381b-44fb-8c85-9690e6415df7,book,,harry-potter-and-the-goblet-of-fire,,,,https://harrypotter.fandom.com/wiki/Harry_Potter_and_the_Goblet_of_Fire
2a3ce707-b2c3-4d59-8b7a-981ffa47c8d3,book,,harry-potter-and-the-order-of-the-phoenix,,,,https://harrypotter.fandom.com/wiki/Harry_Potter_and_the_Order_of_the_Phoenix
47619ef9-488d-4bc8-9536-15dd960c781d,book,,harry-potter-and-the-half-blood-prince,,,,https://harrypotter.fandom.com/wiki/Harry_Potter_and_the_Half-Blood_Prince
bb39c344-d3a4-4598-a3d2-dbdabfe9b068,book,,harry-potter-and-the-deathly-hallows,,,,https://harrypotter.fandom.com/wiki/Harry_Potter_and_the_Deathly_Hallows
